Author ID,Author Name,Author URL
47535422,Farrah Jacquez,https://www.semanticscholar.org/author/47535422
1421953469,Emily Saez-Santiago,https://www.semanticscholar.org/author/1421953469
37863497,Cristina E. Bustos,https://www.semanticscholar.org/author/37863497
48201673,M. Garcia,https://www.semanticscholar.org/author/48201673
46203717,Francisco Reinosa Segovia,https://www.semanticscholar.org/author/46203717
46188742,A. Baig,https://www.semanticscholar.org/author/46188742
5477346,Diana Miconi,https://www.semanticscholar.org/author/5477346
4417318,G. Altoe,https://www.semanticscholar.org/author/4417318
4533734,S. Salcuni,https://www.semanticscholar.org/author/4533734
3931226,Daniela Di Riso,https://www.semanticscholar.org/author/3931226
144417910,S. Schiff,https://www.semanticscholar.org/author/144417910
6921716,Ughetta Moscardino,https://www.semanticscholar.org/author/6921716
2679769,J. Park,https://www.semanticscholar.org/author/2679769
120021782,Abdiel J. Flores,https://www.semanticscholar.org/author/120021782
4705614,K. Aschbacher,https://www.semanticscholar.org/author/4705614
4087436,W. Mendes,https://www.semanticscholar.org/author/4087436
46560159,V. J. Taylor,https://www.semanticscholar.org/author/46560159
4086489,R. Garcia,https://www.semanticscholar.org/author/4086489
10671932,Caitlyn Yantis,https://www.semanticscholar.org/author/10671932
2387079,J. Zhang,https://www.semanticscholar.org/author/2387079
6742049,Bushra Sabri,https://www.semanticscholar.org/author/6742049
46236307,M. Simonet,https://www.semanticscholar.org/author/46236307
48365502,L. Mitchell,https://www.semanticscholar.org/author/48365502
46228913,Ummul-Kiram Kathawalla,https://www.semanticscholar.org/author/46228913
144372167,A. A. Ajayi,https://www.semanticscholar.org/author/144372167
40239776,J. Fish,https://www.semanticscholar.org/author/40239776
46278536,Sarah C. Nelson,https://www.semanticscholar.org/author/46278536
46178493,Lovey H. M. Peissig,https://www.semanticscholar.org/author/46178493
4707359,Shu-Wen Wang,https://www.semanticscholar.org/author/4707359
15077110,Victoria Chau,https://www.semanticscholar.org/author/15077110
32046841,J. Bowie,https://www.semanticscholar.org/author/32046841
4005860,Hee-Soon Juon,https://www.semanticscholar.org/author/4005860
7417060,J. Sauceda,https://www.semanticscholar.org/author/7417060
6068044,J. S. Wiebe,https://www.semanticscholar.org/author/6068044
35344083,Kiana Chan,https://www.semanticscholar.org/author/35344083
47164706,Bryan A. Kutner,https://www.semanticscholar.org/author/47164706
4804621,C. Mcwayne,https://www.semanticscholar.org/author/4804621
46779927,Sunah Hyun,https://www.semanticscholar.org/author/46779927
40497001,Ana Filipa Madeira,https://www.semanticscholar.org/author/40497001
115418917,C. Pereira,https://www.semanticscholar.org/author/115418917
49333095,A. Gama,https://www.semanticscholar.org/author/49333095
145651922,S. Dias,https://www.semanticscholar.org/author/145651922
34777580,C. Porta,https://www.semanticscholar.org/author/34777580
5929586,M. Bloomquist,https://www.semanticscholar.org/author/5929586
1397451698,D. Garcia-Huidobro,https://www.semanticscholar.org/author/1397451698
144336954,R. Gutierrez,https://www.semanticscholar.org/author/144336954
144191102,Leticia Vega,https://www.semanticscholar.org/author/144191102
144406940,R. Balch,https://www.semanticscholar.org/author/144406940
48677758,X. Yu,https://www.semanticscholar.org/author/48677758
48169281,D. K. Cooper,https://www.semanticscholar.org/author/48169281
30004929,Ylva Svensson,https://www.semanticscholar.org/author/30004929
34880195,J. Berne,https://www.semanticscholar.org/author/34880195
47713235,L. Garey,https://www.semanticscholar.org/author/47713235
2272319,C. Sharp,https://www.semanticscholar.org/author/2272319
22204571,Stephanie A. Torres,https://www.semanticscholar.org/author/22204571
5620631,C. D. Santiago,https://www.semanticscholar.org/author/5620631
48447944,A. Maldonado,https://www.semanticscholar.org/author/48447944
12403808,Andrea Preciado,https://www.semanticscholar.org/author/12403808
48217349,Melissa M. Buchanan,https://www.semanticscholar.org/author/48217349
6226835,Kim M. Pulvers,https://www.semanticscholar.org/author/6226835
83233757,D. Romero,https://www.semanticscholar.org/author/83233757
1460049464,K. D’anna-Hernandez,https://www.semanticscholar.org/author/1460049464
6013074,Fatima A. Varner,https://www.semanticscholar.org/author/6013074
29444358,Tajma Hodzic,https://www.semanticscholar.org/author/29444358
1399311235,Sheretta T. Butler-Barnes,https://www.semanticscholar.org/author/1399311235
4906977,S. Rowley,https://www.semanticscholar.org/author/4906977
5821788,Miriam Schwarzenthal,https://www.semanticscholar.org/author/5821788
144686288,F. V. D. Van De Vijver,https://www.semanticscholar.org/author/144686288
1466442685,Kathy Espino-Perez,https://www.semanticscholar.org/author/1466442685
49439013,B. Major,https://www.semanticscholar.org/author/49439013
49954749,Brenna Malta,https://www.semanticscholar.org/author/49954749
1923559,M. Thibeault,https://www.semanticscholar.org/author/1923559
1399367971,R. Nelson-Gray,https://www.semanticscholar.org/author/1399367971
40437499,D. J. Nguyen,https://www.semanticscholar.org/author/40437499
46454958,Joanna J. Kim,https://www.semanticscholar.org/author/46454958
10422564,B. Weiss,https://www.semanticscholar.org/author/10422564
1825936,Victoria Ngo,https://www.semanticscholar.org/author/1825936
66291325,M. Broome,https://www.semanticscholar.org/author/66291325
47079261,Michele Chan,https://www.semanticscholar.org/author/47079261
66474143,Z. E. Piyale,https://www.semanticscholar.org/author/66474143
6508320,J. Hong,https://www.semanticscholar.org/author/6508320
38441230,David C. Talavera,https://www.semanticscholar.org/author/38441230
46704563,C. Barr,https://www.semanticscholar.org/author/46704563
35282289,Julia M. Pryce,https://www.semanticscholar.org/author/35282289
5808920,Naida Silverthorn,https://www.semanticscholar.org/author/5808920
10016746,Kelsey L. Deane,https://www.semanticscholar.org/author/10016746
145187130,D. Dubois,https://www.semanticscholar.org/author/145187130
47587095,Tamara L. Sims,https://www.semanticscholar.org/author/47587095
1405283943,Birgit Koopmann-Holm,https://www.semanticscholar.org/author/1405283943
31962040,H. R. Young,https://www.semanticscholar.org/author/31962040
49731097,D. Jiang,https://www.semanticscholar.org/author/49731097
7554752,Alyssa L. Faro,https://www.semanticscholar.org/author/7554752
4003753,L. Mckee,https://www.semanticscholar.org/author/4003753
40122828,R. Carter,https://www.semanticscholar.org/author/40122828
1435183731,Catherine Pierre-Louis,https://www.semanticscholar.org/author/1435183731
1455017439,Conall O’cleirigh,https://www.semanticscholar.org/author/1455017439
4545487,S. Safren,https://www.semanticscholar.org/author/4545487
5483308,Georgiana Bostean,https://www.semanticscholar.org/author/5483308
2993914,B. Gillespie,https://www.semanticscholar.org/author/2993914
46490219,Gabriel Velez,https://www.semanticscholar.org/author/46490219
1469531922,Carly Offidani-Bertrand,https://www.semanticscholar.org/author/1469531922
144925949,D. Cicero,https://www.semanticscholar.org/author/144925949
40352464,Jonathan R. Cohn,https://www.semanticscholar.org/author/40352464
1403804047,Lauren Duquette-Rury,https://www.semanticscholar.org/author/1403804047
1411632642,Nelson Lim,https://www.semanticscholar.org/author/1411632642
32854942,Joao Estevens,https://www.semanticscholar.org/author/32854942
50106546,Christian Joppke,https://www.semanticscholar.org/author/50106546
40828425,Martine Brouillette,https://www.semanticscholar.org/author/40828425
41133463,Francois Levrau,https://www.semanticscholar.org/author/41133463
52021987,Stephen P. Ruszczyk,https://www.semanticscholar.org/author/52021987
41131736,Tamar De Waal,https://www.semanticscholar.org/author/41131736
144202115,Jason Tucker,https://www.semanticscholar.org/author/144202115
46214718,M. V. Romero,https://www.semanticscholar.org/author/46214718
51210961,M. Kranendonk,https://www.semanticscholar.org/author/51210961
118233650,T. Hedegaard,https://www.semanticscholar.org/author/118233650
114107438,H. Bekhuis,https://www.semanticscholar.org/author/114107438
52494219,Per Adman,https://www.semanticscholar.org/author/52494219
52628476,Per Stromblad,https://www.semanticscholar.org/author/52628476
47306808,F. Boucher,https://www.semanticscholar.org/author/47306808
112949597,Ana Isabel Lopez Garcia,https://www.semanticscholar.org/author/112949597
49229730,S. Hackett,https://www.semanticscholar.org/author/49229730
40831083,Rene Kreichauf,https://www.semanticscholar.org/author/40831083
48781163,Vanessa Grotti,https://www.semanticscholar.org/author/48781163
51170285,C. Malakasis,https://www.semanticscholar.org/author/51170285
51167044,Chiara Quagliariello,https://www.semanticscholar.org/author/51167044
51166477,N. Sahraoui,https://www.semanticscholar.org/author/51166477
51313623,S. Koppes,https://www.semanticscholar.org/author/51313623
28098758,J. Slootjes,https://www.semanticscholar.org/author/28098758
10246982,S. Keuzenkamp,https://www.semanticscholar.org/author/10246982
144690903,A. Pijnenburg,https://www.semanticscholar.org/author/144690903
107829503,N. F. Tan,https://www.semanticscholar.org/author/107829503
5561615,C. Rijken,https://www.semanticscholar.org/author/5561615
1405177000,P. Dabrowska-Klosinska,https://www.semanticscholar.org/author/1405177000
113919415,Bjarney Friðriksdottir,https://www.semanticscholar.org/author/113919415
70744634,P. Reenen,https://www.semanticscholar.org/author/70744634
1432768716,Fanny Tittel-Mosser,https://www.semanticscholar.org/author/1432768716
98228707,L. Jakuleviciene,https://www.semanticscholar.org/author/98228707
101222253,Regina Valutyte,https://www.semanticscholar.org/author/101222253
97599556,Inga Dauksiene,https://www.semanticscholar.org/author/97599556
114359285,Jacek Chlebny,https://www.semanticscholar.org/author/114359285
15531507,Marco Inglese,https://www.semanticscholar.org/author/15531507
153639417,Sophie Dura,https://www.semanticscholar.org/author/153639417
101589173,Kevin Fredy Hinterberger,https://www.semanticscholar.org/author/101589173
144997221,J. Koo,https://www.semanticscholar.org/author/144997221
82326181,Vera Pavlou,https://www.semanticscholar.org/author/82326181
104919198,V. Stoyanova,https://www.semanticscholar.org/author/104919198
